headline,url,published_at,tags,content
Trent Alexander-Arnold announces Liverpool departure,https://www.kbc.co.ke/trent-alexander-arnold-announces-liverpool-departure/,2025-05-05T12:54:20+03:00,,"Trent Alexander-Arnold announced Monday he will leave boyhood club Liverpool when his contract expires at the end of the season, saying it was the “hardest decision” of his life. The England defender, who helped Liverpool win the Premier League this season, has been heavily linked with a free transfer to Real Madrid. “After 20 years at Liverpool Football Club, now is the time for me to confirm that I will be leaving at the end of the season,” the 26-year-old posted on X. “This is easily the hardest decision I’ve ever made in my life.” Liverpool’s Premier League success moved the Reds level with rivals Manchester United on 20 top-flight titles. “I know many of you have wondered why or been frustrated that I haven’t spoken about this yet, but it was always my intention to keep my full focus on the team’s best interests, which was securing No. 20,” Alexander-Arnold’s said. “This club has been my whole life — my whole world — for 20 years. From the Academy right through until now, the support and love I have felt from everyone inside and outside of the club will stay with me forever. “I will forever be in debt to you all. My love for this club will never die.” Alexander-Arnold made his senior debut in 2016 and went on to make 352 appearances for the Reds to date, scoring 23 goals and lifting eight major honours. “Alexander-Arnold will depart with our gratitude and appreciation for his contribution during a sustained period of success,” Liverpool said in a statement on their website."
U20 AFCON: Kenya’s second round qualification hangs in balance after Tunisia defeat,https://www.kbc.co.ke/u20-afcon-kenyas-second-round-qualification-hangs-in-balance-after-tunisia-defeat/,2025-05-05T00:59:39+03:00,,"The national men’s U20 soccer team,Rising Stars,hopes of advancing to the knock out phase of the ongoing U20 Africa Cup of Nations were dashed after suffering 3-1 loss against Tunisia in their second group B match played Sunday at the 30th June Stadium,Cairo Egypt. Kenya who opened the campaign with a narrow 3-2 loss to Morocco began brightly and went ahead in the 35th minute after Lawrence Ouma turned in Hassan Beja’s pin point cross.  But Tunisia levelled in added time of the first half through a penalty scored by Fares Bousnina. Omar Ben Ali and Alleidine Derballi added two more goals  in the second half to hand Tunisia their first win after losing by a goal to nil to Nigeria in their opening fixture .The loss inevitably dims Kenya’s chances of advancing in the tournament ahead of their final group match against  Nigeria on Wednesday, May 7th."
"Chelsea sink champions Liverpool, Man Utd crash at Brentford",https://www.kbc.co.ke/chelsea-sink-champions-liverpool-man-utd-crash-at-brentford/,2025-05-04T22:04:10+03:00,"Brentford,Champions League","Chelsea improved their chances of qualifying for the Champions League with a vital 3-1 victory as Liverpool suffered a Premier League title hangover, while United’s winless league run reached six games after a 4-3 defeat at Brentford on Sunday. Enzo Maresca’s Chelsea took the lead through Enzo Fernandez’s early strike at Stamford Bridge. Jarell Quansah’s second half own goal was followed by Virgil van Dijk’s late reply for Liverpool. Cole Palmer’s stoppage-time penalty condemned the champions to only their third league defeat this season. While lacklustre Liverpool had little to play for after winning a record-equalling 20th English crown with a 5-1 rout of Tottenham last weekend, Chelsea had every incentive to secure a priceless three points. Hoping to return to the Champions League via a top five finish, the Blues sit in fifth place, level on points with fourth-placed Newcastle after their 1-1 draw at Brighton earlier on Sunday. Sixth-placed Nottingham Forest will join Chelsea and Newcastle on 63 points if they beat Crystal Palace on Monday. Third-placed Manchester City are only one point clear of Chelsea and, with three games left, the top five battle is set for a thrilling finale. “Very important three points, especially at this stage in the season,” Maresca said. “For sure, Chelsea has to fight for Champions League and hopefully in the future we can fight for something more important. In this moment we are there and hopefully we can finish there.” Liverpool’s only other league losses in a triumphant campaign came against Nottingham Forest in September and at Fulham in April. Manchester United are languishing in 15th place following the latest setback in their wretched top-flight campaign. Ruben Amorim’s side are focused on salvaging their forgettable season by winning the Europa League. They will host Athletic Bilbao in the semi-final second leg next Thursday protecting a 3-0 lead and Amorim made a host of changes, resting Harry Maguire, Bruno Fernandes and Casemiro. In the 14th minute, Mason Mount scored only his second league goal for United since joining from Chelsea in 2023 as he took Alejandro Garnacho’s pass and slotted home from eight yards. But Brentford hit back in the 27th minute when United defender Luke Shaw deflected Michael Kayode’s effort into his own net. United’s leaky defence were punished in the 33rd minute as Kevin Schade headed Christian Norgaard’s cross past Altay Bayindir. – ‘We cannot do this anymore’ –
United conceded again when Schade struck with a 70th minute header. Yoane Wissa completed the rout four minutes later, poking home for his 18th league goal this season. Garnacho’s 82nd minute blast from the edge of the area was followed by Amad Diallo’s stoppage-time effort for the visitors. But it was little consolation for United, who have lost 12 of Amorim’s 24 league games, winning only six times. “The players have to understand we cannot do this anymore, we know the context of the season and we need to change that,” Amorim said. Tottenham are also looking to win the Europa League to paper over the cracks in a miserable campaign. Ange Postecoglou’s side warmed up for their semi-final second leg against Bodo/Glimt with a 1-1 draw at West Ham. Tottenham have only one win in their last nine league matches and sit a lowly 16th in the table, leaving them facing their lowest finish since 1976-77. They are aiming to end their 17-year trophy drought by winning a first European prize since the 1984 UEFA Cup. But Postecoglou could still be sacked regardless of the Europa League run. The Australian made eight changes from the 3-1 win in the first leg against Bodo/Glimt to rest his stars for Thursday’s second leg in Norway. Tottenham took the lead in the 15th minute when Wilson Odobert punished West Ham’s sloppy marking to drill home from Mathys Tel’s pass. But Jarrod Bowen levelled for West Ham in the 28th minute, taking Aaron Wan-Bissaka’s pass in stride and shooting through the legs of Tottenham keeper Guglielmo Vicario. Yankuba Minteh gave Brighton the lead against his former club with a fine finish in the 28th minute. Alexander Isak dragged Newcastle level in the 89th minute, netting with a penalty for his 23rd league goal this season."
"Gakuo, Kimata win 8th leg of NCBA series  in Thika",https://www.kbc.co.ke/gakuo-kimata-win-8th-leg-of-ncba-series-in-thika/,2025-05-04T20:10:12+03:00,,"Dennis Gakuo and Naomi Kimata emerged the overall men’s and women’s winners respectively at the 8th leg of the NCBA golf series at the par 72 Thika Sports Club. A total of 270 players took part in the leg. Gakuo, playing off handicap 3, put on a commanding performance to card an impressive 77 gross, securing the men’s top spot. Meanwhile, Kimata, playing off handicap 14, showcased consistency and grit to post 85 gross, clinching the overall ladies’ title. The tightly contested tournament also saw brilliant performances across other categories. In Division I (handicap 12 and below), handicap 8 Edward Nyamu topped the leaderboard with 37 points. The Division II men’s title went to Simon Kibe (handicap 20), who carded 40 points, while Veronica Wanjiku (handicap 22) emerged victorious in the Division II ladies’ category with 41 points, a score matched by Rose Nduta (handicap 42), the winner in Division III (handicap 25 and above).    Rising junior star Jamie Gakobo (handicap 15) impressed with a strong round of 39 points, taking home the Junior Winner trophy. In the Guest category, Job Karimi (handicap 26) delivered a matching score of 39 points to claim the Guest Winner title. Among the NCBA staff participants, Daniel Chege stood out with 24 points. The day also featured exciting skill contests, where Linus Muthari and Veronica Wanjiku won the Longest Drive awards in the men’s and ladies’ categories respectively. The Nearest to the Pin titles went to Ngugi Waweru (Men) and Betty Mutua (Ladies). Speaking at the event, NCBA Thika Branch Manager Nicholas Njenga said: “We are incredibly proud to have hosted today’s event here at Thika Sports Club. Seeing 270 golfers participate is not only a testament to the growth of the game, but also to the strength of this golfing community. At NCBA, we are committed to empowering growth—not just in golf, but across sectors. Through our support for SMEs and asset finance solutions, we want to ensure that individuals and businesses alike can move forward and achieve their ambitions.”    Thika Sports Club Captain Moses Gatonye echoed the positive sentiment, saying: “Today’s turnout was truly phenomenal. NCBA continues to show unmatched dedication to the game of golf, and we are grateful for their partnership. This event gave our members and guests a chance to engage, compete, and enjoy the sport we love in a well-organized and enjoyable setting. We look forward to many more such engagements.” The NCBA Golf Series now shifts focus to the next event on its 2025 calendar – the Machakos Golf Club leg – for the ninth leg on 9th May, continuing to provide a platform for golfers of all skill levels to compete for slots for the series grand finale that will be held later in the year."
Karan and Nikhil pumped up ahead of the Pearl of Africa ARC Rally in Uganda,https://www.kbc.co.ke/karan-and-nikhil-pumped-up-ahead-of-the-pearl-of-africa-arc-rally-in-uganda/,2025-05-04T19:52:37+03:00,,"KCB Racing Team drivers Karan Patel and Nikhil Sachania have expressed confidence ahead of the much-anticipated Pearl of Africa Rally slated for May 9 – 11 in Mbarara, Uganda. Reigning African Rally Champion Karan Patel is set to return to action after receiving a significant boost from KCB Bank. Karan secured KShs. 5 million from the bank to purchase a new engine for his Skoda Fabia Rally2, following a mechanical failure triggered by thick “Fesh Fesh” dust at the Camp Moran Stage during the 2025 WRC Safari Rally. Speaking ahead of the competition, KCB Head of Integrated Marketing Nkatha Mutungi said: “Our support for motorsports is largely influenced by the strong desire to put the East Africa region on the global map as a premier motorsports destination. It is part of our broader corporate social responsibility in line with our brand purpose For People. For Better. We will be rooting for our local drivers who will be competing alongside regional heavyweights at this adrenalinepumping event.”  KCB Uganda has committed KShs. 9.5 million to support the upcoming Pearl of Africa Rally Championship, further strengthening its footprint in regional motorsport. The funding will back top Ugandan drivers Mutebi Nasser, Michael George Mukula, and Oscar Ntambi, while a portion will be directed to the Federation of Motorsport Clubs of Uganda (FMU) to aid in event preparations and logistics. For the first time since 1960, motorsports enthusiasts in Mbarara will witness the thrill of the rally that has traditionally been held in other parts of Uganda. Nikhil Sachania alongside his navigator Deep Patel will also be making their debut at the event. The duo will be competing in a Ford Fiesta Rally3 car. The competition will be their first since the 2025 WRC Safari Rally where they emerged first in ARC3 category. Karan and his navigator Tauseef Khan developed mechanical problems and could not finish the race. He has vowed to push the car to the limit in Uganda. He said:“Tauseef and I are eagerly waiting for the Pearl of Africa Rally. Since the event will be held in Mbarara, it will pose extreme challenges considering it is a tough terrain. However, we are ready to test the new engine and to show the world that we are the best at what we do. I urge our Ugandan fans to turn up in large numbers because we will give them a show.” Drivers from the homecountry Uganda, Tanzania, Kenya and Rwanda will compete in five stages – Charles Muhangi, Kaguta, Ankole Cow, Moses Lumala, and Rukaari, all named after people and culture associated with motorsports in Ankole region. They will cover a total of 87.46 kilometers in the 3-day showdown."
Man Utd ‘need to change’ after Brentford loss: Amorim,https://www.kbc.co.ke/man-utd-need-to-change-after-brentford-loss-amorim/,2025-05-04T19:48:21+03:00,"Brentford,Kevin Schade","Ruben Amorim admitted Manchester United “need to change” after a dismal 4-3 defeat at Brentford on Sunday underlined the problems facing the Old Trafford boss. Kevin Schade scored twice at Gtech Community Stadium as United’s miserable Premier League campaign took another blow, with their winless league run stretching to six matches. Amorim made eight changes to his starting line-up as he rested key players after Thursday’s 3-0 win at Athletic Bilbao in the Europa League semi-final second leg. Fielding the third youngest starting line-up in Premier League history — with an average age of 22 years and 270 days — United’s raw rookies were unable to avoid a 12th defeat in Amorim’s 24 league games. Since replacing the sacked Erik ten Hag in November, Amorim has been unable to lift United out of the mire. United are languishing in 15th place as they try to avoid their worst finish since being relegated in 1973-74. Amorim has been critical of United’s players on several occasions and he again conceded there is a need for a close-season overhaul of his squad. “It was a reflection of our season. We started well and controlled well, we suffered with the set pieces and throw-ins so we knew we would struggle against them,” he said. “The players have to understand we cannot do this anymore, we know the context of the season and we need to change that.” Mason Mount scored his first goal of the season to put United ahead, but a Luke Shaw own goal and Schade’s strike put Brentford ahead by half-time. Schade got his second with a close-range header from Bryan Mbeumo’s delivery, before Yoane Wissa bagged the fourth from six yards out as United’s defence collapsed. Alejandro Garnacho’s 82nd-minute rocket from the edge of the area and Amad Diallo’s stoppage-time effort put a little gloss on the scoreline for an outclassed United. After two injury-plagued seasons since arriving from Chelsea, Mount’s goal was a rare bright spot for Amorim. “It’s not just the finish, it’s the position he has on the pitch, he’s a third midfielder who can reach the box, he’s really intelligent and he’s getting there,” he said. “He trains really hard, sometimes too hard and I have to pull him back and take him off the pitch because he wants to do more. “He wants to play more minutes and I’m really happy with him.”"
Karen Young Runners Win the ABSA Life 2025 Nairobi Marathon Relay,https://www.kbc.co.ke/karen-young-runners-win-the-absa-life-2025-nairobi-marathon-relay/,2025-05-04T19:37:48+03:00,,"Karen Young Runners clocked 2hours 46 minutes and 15 seconds to clinch the 6th edition of the FWD Nairobi Marathon Relay that was held in Nairobi. They beat Spartans Vanguards who recorded 3hours 19 minutes and 20 seconds to emerge second. Leisurely Leopards finished third, recording 3 hours 21 minutes and 1 second at the event that was graced by 200 teams. Speaking after guiding his team to victory, an elated John Njori said: “It was such a well-organized event. My team and I enjoyed the race. Coming into this competition, we knew that it was going to be difficult considering the names that had signed up for the race. However, with our early preparations and teamwork, we have cruised to victory. A hearty congratulations to all the other participants who came out to run today.” In the ladies’ teams, Warembo wa Badeq clocked 2 hours 52 minutes and 49 seconds to bag the women’s category. Run and Lift 105 was second after clocking 2 hours 55 minutes and 10 seconds. All men teams saw Trafford SportsWear claim victory, recording 2 hours 29 minutes and 12 seconds. Badeq Shop 010 finished second registering 2 hours 29 minutes and 42 seconds.    The first edition of the Nairobi Marathon Relay was held in 2021. The event hosted 22 teams with a restriction due to the pandemic. Since then, it has been inspired by strong themes and has seen tremendous growth, with participants drawn from corporate teams, running clubs, and partnerships with sponsors. It attracted 40 teams in 2022 while the 2023 edition saw 40 teams competing. This event is especially meaningful for us at Absa Life, not just as the title sponsor of the 2025 Nairobi Relay Marathon, but because we’re also celebrating a big milestone, our 10th anniversary. Just like many of you on the marathon course today, our journey hasn’t always been easy. We’ve faced hurdles, adjusted our stride, and kept pushing forward. But every challenge has made us stronger, and every milestone reminds us why we do this. We will continue partnering with FWD in the future to inspire millions of athletics enthusiasts,” noted Waiguru Githanji, Managing Director, ABSA  Life Assurance. The event, which kicked off at exactly 6:30 am, saw each team have a total of six members and every member ran one circuit of 7.2kms before handing over the baton to the next person. Runners from corporates, running clubs, and sponsors featured in the competitive showpiece."
EPL: Manchester United piped by Brentford in 7 goal thriller,https://www.kbc.co.ke/epl-manchester-united-piped-by-brentford-in-7-goal-thriller/,2025-05-04T19:14:03+03:00,,"Brentford kept their hopes of European qualification alive by coming from behind to beat Manchester United in a 4-3 thriller at the Gtech Community Stadium. Mason Mount gave the visitors the lead with just his second goal for the club, finishing off a fine cross from winger Alejandro Garnacho. Brentford equalised when captain Mikkel Damsgaard saw his cross deflect in off defender Luke Shaw, who was captaining a much-changed United side. The Bees took the lead six minutes later in controversial fashion, when Kevin Schade towered over United defender Tyler Fredricson to power in his 10th goal of the season with a superb header. However, United were furious when play wasn’t stopped after defender Matthijs de Ligt went down with an injury earlier in the move. Schade wrapped up the three points 20 minutes from time, heading in his second of the day from close range from a Bryan Mbeumo cross. But Brentford were not done there, with the Bees cutting through United’s defence to allow Michael Kayode to slip in Yoane Wissa for a fourth of the afternoon. Argentina international Garnacho scored a stunning long-range effort eight minutes from time to give United a sliver of hope. United then ensured it was a nervy finish for Brentford when second half substitute Amad Diallo scored five minutes into seven added minutes of injury time, but the Bees saw out the win. The defeat leaves United in 15th, on 39 points from 35 matches, while Brentford move into ninth, one point behind eighth-placed Bournemouth."
Lazio in Serie A’s top four with win at Empoli,https://www.kbc.co.ke/lazio-in-serie-as-top-four-with-win-at-empoli/,2025-05-04T15:58:23+03:00,"Boulaye Dia,Champions League","Lazio moved into Serie A’s Champions League positions on Sunday after a 1-0 win over Empoli in a match which finished with both teams reduced to 10 men. Boulaye Dia’s goal just seconds after kick-off pushed Lazio into fourth place. Empoli had to play over half the match a man down after Lorenzo Colombo was sent off in the 39th minute for a poor challenge on Samuel Gigot. Lazio lost Elseid Hysaj to two bookable offences with 14 minutes remaining but easily held out for the win. However, Lazio’s hold on fourth spot will not last long. They are a point ahead of Juventus who face a key clash at Bologna in the late match. Bologna are a further point back from Lazio in sixth, and Juve’s superior goal difference means Lazio will drop out of the top four regardless of the result at the Stadio Dall’Ara. Lazio host Juve next weekend in another match which could decide who out of six teams will take the two remaining spots in Europe’s elite club competition. Napoli and Inter Milan are well clear of the chasing pack and battling it out for the league title. Atalanta are two points ahead of Lazio in third ahead of their match at rock-bottom Monza, who will be relegated with anything other than a win. Roma, three points behind Lazio in seventh and unbeaten in 18 league matches, could briefly take fourth from their local rivals if they beat another Champions League hopeful in Fiorentina. Empoli remain second-from-bottom and two points behind Lecce, who sit just outside the relegation zone. Lecce are on a run of 20 matches without a win, their latest reverse a 1-0 defeat by league leaders Napoli on Saturday."
Arsenal suffer Bournemouth defeat ahead of PSG showdown,https://www.kbc.co.ke/arsenal-suffer-bournemouth-defeat-ahead-of-psg-showdown/,2025-05-03T21:44:31+03:00,"Arsenal,Bournemouth","Arsenal suffered a blow ahead of their Champions League showdown with Paris Saint-Germain as Evanilson fired Bournemouth to a 2-1 victory at the Emirates Stadium on Saturday. Mikel Arteta’s side took the lead through Declan Rice’s opener on his 100th appearance for the club. But Dean Huijsen equalised in the second half and Evanilson completed the comeback to give Bournemouth their first ever away win over Arsenal. Beaten 1-0 by PSG in the Champions League semi-final first leg on Tuesday, Arsenal will need a much-improved performance in the second leg in Paris on Wednesday. The second-placed Gunners also still require six points to guarantee Champions League qualification for next season via a top five finish in the Premier League. Arteta admitted this week that it was “very painful” to watch Liverpool celebrate winning the Premier League title last weekend. The Gunners finished as runners-up behind Manchester City for the last two seasons and the Champions League is their last hope of a trophy this term. Arteta is still waiting to win the second trophy of his six-year Arsenal reign, with his last silverware coming in the 2020 FA Cup. Arsenal last reached the Champions League final in 2006 and have never won the tournament. With so much at stake in the Parc des Princes next week, it was intriguing to see Arteta select a full strength side for a relatively meaningless game against Bournemouth. Instead of resting, key stars Rice, Bukayo Saka, Martin Odegaard and William Saliba were all in Arsenal’s starting line-up. Jurrien Timber and Mikel Merino were the notable absentees for Arsenal, with Arteta revealing the former will need a fitness test to determine his availability for the PSG game. – Sucker punch –
